V1,V2,V3
-124.55462184874,44.8996655518395,-324.051635742188
-124.521008403361,44.8996655518395,-271.212585449219
-124.487394957983,44.8996655518395,-223.132583618164
-124.453781512605,44.8996655518395,-188.722595214844
-124.420168067227,44.8996655518395,-170.272583007812
-124.386554621849,44.8996655518395,-160.792587280273
-124.352941176471,44.8996655518395,-154.672592163086
-124.319327731092,44.8996655518395,-143.412582397461
-124.285714285714,44.8996655518395,-133.182586669922
-124.252100840336,44.8996655518395,-122.190055847168
-124.218487394958,44.8996655518395,-108.500053405762
-124.18487394958,44.8996655518395,-94.2500534057617
-124.151260504202,44.8996655518395,-75.6600494384766
-124.117647058824,44.8996655518395,-59.8800506591797
-124.084033613445,44.8996655518395,-43.670051574707
-124.050420168067,44.8996655518395,-12.8900527954102
-124.016806722689,44.8996655518395,54.9799461364746
-123.983193277311,44.8996655518395,113.02116394043
-123.949579831933,44.8996655518395,80.3011627197266
-123.915966386555,44.8996655518395,146.731155395508
-123.882352941176,44.8996655518395,265.691162109375
-123.848739495798,44.8996655518395,363.981170654297
-123.81512605042,44.8996655518395,382.101165771484
-123.781512605042,44.8996655518395,422.461151123047
-123.747899159664,44.8996655518395,391.721160888672
-123.714285714286,44.8996655518395,318.217315673828
-123.680672268908,44.8996655518395,570.457336425781
-123.647058823529,44.8996655518395,725.927307128906
-123.613445378151,44.8996655518395,844.797302246094
-123.579831932773,44.8996655518395,684.147338867188
-123.546218487395,44.8996655518395,464.957305908203
-123.512605042017,44.8996655518395,358.697296142578
-123.478991596639,44.8996655518395,345.527313232422
-123.44537815126,44.8996655518395,270.964965820312
-123.411764705882,44.8996655518395,209.994979858398
-123.378151260504,44.8996655518395,169.114974975586
-123.344537815126,44.8996655518395,140.774978637695
-123.310924369748,44.8996655518395,142.844970703125
-123.27731092437,44.8996655518395,123.404975891113
-123.243697478992,44.8996655518395,71.0449752807617
-123.210084033613,44.8996655518395,58.0349769592285
-123.176470588235,44.8996655518395,49.0538444519043
-123.142857142857,44.8996655518395,49.3938446044922
-123.109243697479,44.8996655518395,145.19384765625
-123.075630252101,44.8996655518395,176.083847045898
-123.042016806723,44.8996655518395,141.953842163086
-123.008403361345,44.8996655518395,111.773849487305
-122.974789915966,44.8996655518395,80.0038452148438
-122.941176470588,44.8996655518395,124.353843688965
-122.90756302521,44.8996655518395,155.142349243164
-122.873949579832,44.8996655518395,144.602355957031
-122.840336134454,44.8996655518395,166.192352294922
-122.806722689076,44.8996655518395,185.712356567383
-122.773109243697,44.8996655518395,210.882354736328
-122.739495798319,44.8996655518395,248.002349853516
-122.705882352941,44.8996655518395,296.452362060547
-122.672268907563,44.8996655518395,379.492340087891
-122.638655462185,44.8996655518395,441.072143554688
-122.605042016807,44.8996655518395,543.292114257812
-122.571428571429,44.8996655518395,615.312133789062
-122.53781512605,44.8996655518395,741.4521484375
-122.504201680672,44.8996655518395,702.7021484375
-122.470588235294,44.8996655518395,810.472106933594
-122.436974789916,44.8996655518395,958.162109375
-122.403361344538,44.8996655518395,1077.83215332031
-122.36974789916,44.8996655518395,1007.97808837891
-122.336134453782,44.8996655518395,961.758056640625
-122.302521008403,44.8996655518395,954.01806640625
-122.268907563025,44.8996655518395,1110.51806640625
-122.235294117647,44.8996655518395,995.298095703125
-122.201680672269,44.8996655518395,1116.16809082031
-122.168067226891,44.8996655518395,1077.40808105469
-122.134453781513,44.8996655518395,1101.7880859375
-122.100840336134,44.8996655518395,1307.72326660156
-122.067226890756,44.8996655518395,1352.09326171875
